X27	X11	X57	X52	X34	X18	X15	X47	X17	X51	X56	X12	X2	X50	X49	X60	X9	X36	X13	X39	X42	X3	X5	X53	X1	X10	X54	X41	X45	X37	X30	X38	X33	X40	X35	X32	X26	X55	X46	X8	X24	X16	X31	X59	X4	X58	X7	X22	X14	X19
1.9136	3.3122	4.7853	2.3581	-1.3031	0.3050	-0.5790	-0.9377	-2.0152	-4.3638	-2.5121	1.1647	0.0613	4.1990	-2.7449	0.4794	1.5198	2.7739	2.3486	0.7576	-0.7465	1.3049	-2.4887	0.5017	-0.9621	0.2293	1.2039	1.3028	1.8126	-2.1178	2.2946	1.3628	0.6866	2.5088	-2.3029	-0.1477	0.0462	0.5130	-0.7966	0.3726	1.1641	-1.3700	2.0313	-3.2214	1.0519	3.2545	0.3060	-0.7235	1.5248	-2.1064
2.2368	0.1240	-2.9968	-2.5357	-2.0803	0.7442	-0.1417	-1.6381	-2.6417	-1.5416	-0.2871	-2.4919	-0.2987	0.8706	4.4527	-2.4289	1.7597	0.8659	0.2171	1.2099	4.4164	-0.8060	-1.4403	-1.0598	1.2238	-1.0255	-3.5072	-4.4091	1.2891	-1.3048	2.2190	-0.4496	0.6526	0.8688	0.3558	3.9497	0.6488	3.0284	1.5278	-0.2715	-0.3695	0.4320	-0.2018	-0.4496	0.4860	2.2791	1.1014	-0.9210	-1.5561	-0.0930
-2.0385	0.2353	5.2432	1.8360	1.0044	0.8475	-2.2161	1.7931	-3.0667	-4.4108	8.0850	0.4505	-1.5399	4.1025	-7.8136	2.5529	-2.0693	3.9474	3.2811	2.4917	-1.3215	-0.9082	-0.6761	3.3360	1.1788	1.7919	-1.0490	3.1307	-0.7277	-1.3354	-1.0800	0.6209	-2.0858	0.4675	-1.0536	3.2747	0.8361	-2.8782	-4.2716	0.2012	4.4417	-0.1315	7.4492	1.9962	-0.7184	-3.2661	-0.6136	2.2332	4.2745	-2.5157
-2.0060	0.1007	-5.9226	-1.3099	-0.9823	-0.9100	-1.9035	-0.9991	-0.9881	0.2757	1.2928	-0.4392	-1.0173	-2.4573	2.1720	0.0776	-0.8860	0.5838	1.9835	0.1738	-1.2054	1.7176	0.2910	1.3686	-1.8297	-0.4001	-0.5297	1.7006	0.0346	-0.4078	-3.7863	-0.0974	-3.2866	-1.6001	-0.9604	-2.0285	-0.2860	-2.5713	0.4716	-0.6996	2.7267	1.3767	2.2976	-0.5526	-0.5817	3.6173	-0.4692	-0.3782	0.1893	-1.0582
0.2771	1.7805	7.2753	1.7896	1.8433	2.0394	-1.5906	1.2842	0.7704	-7.8215	-1.5142	1.2028	0.4066	7.4068	-6.5850	2.2459	-0.8788	-1.8606	1.9752	0.0450	-3.0827	-0.8955	-0.9592	1.9716	-0.7703	1.3849	0.6677	1.3461	-2.0693	0.6414	1.1881	-3.4002	-1.8824	-3.7119	2.7152	-2.7268	0.3060	2.2995	1.2586	1.4243	2.4631	1.9870	-1.2802	-0.9988	0.3830	-1.2213	-1.1692	-0.7715	-1.2760	1.9259
-1.2038	-1.3592	13.3184	2.4115	2.0107	-2.7045	2.6304	2.5197	0.0243	-4.2190	2.4887	-1.1898	0.7981	5.0164	-6.6443	-1.4564	0.5005	0.9935	0.0347	1.6093	-1.7262	-0.0020	-0.3548	-2.5383	3.4831	2.2136	1.0948	2.2211	-3.2099	-2.2708	2.5481	1.2995	0.2745	-6.2409	0.6467	-0.6288	-0.2498	-0.7667	1.5240	2.1066	1.8029	2.2474	0.0139	2.8297	0.1837	-4.1938	-0.4726	0.1384	-1.4589	-0.1146
-0.0335	0.6143	2.5273	4.0206	-0.9423	0.8577	0.2423	0.4161	-1.5934	-0.0769	-2.0207	-0.8851	2.5216	-0.7072	0.0756	1.9587	-1.4041	2.3086	1.6666	0.7143	0.1247	1.1886	-0.0689	0.1572	-0.3155	1.1794	-1.7261	0.0966	1.8243	-1.2148	1.7204	-3.2038	-2.6556	-1.1533	0.8242	-2.9834	-0.2997	-1.0738	-1.8209	1.2313	-2.0896	1.9290	0.5966	-2.1443	0.5215	-2.6400	-0.9417	-0.5432	-0.7463	-2.1089
-3.6971	2.3821	5.7943	1.2678	0.9684	-1.7222	1.8340	0.7263	-1.8350	-1.4473	-1.3014	1.7737	-1.4598	1.6557	-2.1507	4.8295	-3.0109	3.1922	-1.0294	1.2244	-3.3440	-2.6802	-1.4543	-3.6114	1.6545	0.8784	2.2806	-0.7784	-2.9967	0.2237	1.6159	1.9348	1.8043	-2.4858	0.7815	0.1761	1.3324	-2.9814	0.1215	2.9267	0.8174	-1.1300	-3.3651	6.9122	0.1748	1.2443	-3.1136	-0.9880	-0.3406	-0.4018
-1.0414	-0.1161	10.8313	1.1377	1.4355	-1.6249	1.5096	3.6440	-2.0016	-5.0281	3.5015	0.8879	-0.3770	5.4523	-3.2557	-1.8787	2.2542	4.4251	1.7446	0.1550	-2.6458	2.2544	-1.4038	2.4457	0.5320	-0.1334	-0.0898	-3.1804	1.2774	0.5250	-0.0635	-1.2679	-0.6791	-2.2781	-0.9432	2.1900	-0.2076	-3.0751	0.0139	1.2906	3.7138	-0.9720	-2.7613	-3.2625	0.2533	1.6663	1.1338	0.8069	-0.2424	-1.8456
3.3372	-0.0802	7.8405	2.7023	3.4053	-1.6053	2.4376	-1.0942	-0.8431	-1.6615	-2.3956	0.8400	-0.5664	0.8172	-1.0385	0.9013	2.7549	-0.9642	-2.4994	0.6452	1.3756	-1.5037	-0.0155	1.9561	1.3635	3.2667	0.0286	5.1689	-1.1739	-0.6886	2.3608	-1.7607	3.4642	-3.4556	0.0854	-0.1254	0.5532	5.2129	0.3382	3.7914	-1.7938	-3.2000	0.9038	-1.2283	-1.2055	-4.6389	0.7754	-0.7167	0.9704	-4.0899
-3.1214	-0.2201	1.7918	0.2409	0.3839	0.3831	-0.2242	0.3596	1.9086	-2.2517	5.7012	-1.5274	-1.1995	2.4956	0.6220	0.7608	-2.4554	-2.0986	1.5546	0.2466	2.3412	1.6064	-0.1344	-1.5809	-2.2844	-1.7481	0.5737	-1.3979	0.0321	1.0974	-0.3839	1.0869	-0.6858	-0.6535	-2.4373	0.9975	-0.0376	-1.3788	1.8464	-1.6939	2.7288	-0.2205	-1.7347	4.0969	0.8197	0.6757	-0.6242	-2.6680	-0.7437	0.9463
1.1416	0.3036	-4.5497	-2.4545	-0.3893	1.6557	2.4407	3.7457	0.1047	-1.8794	6.6553	1.0305	-0.2331	-0.1083	0.2322	-5.1176	2.6780	-1.8127	1.7673	0.8880	0.6912	0.9728	0.7828	0.2396	-1.2755	-1.2243	-1.3020	2.4357	1.3602	-2.4030	-2.0119	-0.9293	-2.5620	0.2792	0.8385	-0.6048	0.3934	-0.5091	2.4325	-1.5904	0.9584	0.7873	2.0407	-0.6142	-0.2214	0.5659	1.6073	1.3191	0.2017	1.3067
-1.8643	0.7876	-4.3090	2.0522	0.7947	-0.2698	1.0258	2.3650	0.0539	5.4551	0.5870	0.9621	-0.5890	-3.6454	3.7015	-1.6544	-1.5688	0.1427	-1.1751	0.6478	2.3346	1.5144	-2.5566	2.8740	-1.3660	-1.9624	1.1170	-1.1109	-0.8523	1.1282	-1.2410	0.9420	3.9892	2.4837	-2.2226	1.5580	0.4858	-1.0850	-1.8847	0.2415	1.2811	-1.1251	2.5794	1.1966	0.9258	3.0791	-0.3418	0.8736	1.5465	-1.0467
1.0382	1.5904	6.3250	0.3126	0.2084	0.1043	1.3425	0.1475	0.9209	0.0107	6.3288	-0.9197	-0.8054	1.8824	-5.9018	2.2316	1.5982	1.0003	0.6154	3.3865	-0.9828	-1.6946	1.1118	-0.5254	0.7360	-1.0826	-0.8925	-2.0749	-0.5462	0.2407	0.3603	-0.4815	2.3116	1.7684	4.0990	-0.7355	0.4966	0.3793	3.2574	-1.6010	1.0708	-2.1813	0.0175	3.4503	-1.8016	-3.7667	1.1133	2.5081	-0.9247	1.6804
1.8924	1.3122	1.0828	4.1650	4.8917	-1.3648	-2.5679	0.8166	0.1302	-4.1816	-3.2264	0.9347	1.8239	-0.4884	1.7273	-4.2915	2.0022	-1.7653	-0.2868	1.6708	2.4809	-1.0763	0.8223	-2.8002	2.1752	4.6727	0.4792	-1.7102	-0.6203	2.1981	0.8645	1.8318	-0.6084	-6.1212	0.6847	0.6657	-1.5285	5.1787	-0.1453	1.6326	-0.8416	1.2644	-0.1346	-1.9969	0.7259	-6.6491	1.9385	-5.3426	-0.0399	-1.6123
-0.2350	0.5375	-1.8265	1.1812	1.4443	-0.5115	-1.5779	-1.4400	0.2148	-2.1375	-5.5784	-0.0052	2.4976	-3.4985	2.5569	0.0360	-0.8641	0.7141	-1.8762	-5.3494	4.3198	2.4139	0.3578	0.0495	-1.7909	1.2551	2.1227	-2.3378	0.4743	-0.2829	0.6002	-0.1994	1.6087	-4.7121	0.3935	-0.3187	0.3291	-1.4762	2.0223	0.5434	-3.8659	0.7906	0.4386	-1.8137	-0.4373	-1.4122	-0.3561	1.6995	-1.6402	-1.0164
1.7144	-0.8643	-8.2076	-6.9473	-0.8052	-0.8061	-0.9351	-1.5953	0.9927	1.0116	-5.7641	-1.3546	-0.2185	-1.2621	2.3705	0.3357	1.6394	-1.0724	-3.9352	0.2821	0.7171	-1.7562	-0.9694	0.1868	1.0413	-0.0755	0.0711	1.8196	-2.3259	-0.4392	-3.3454	0.5490	1.9155	1.8552	0.1490	-1.2462	0.3944	-1.8706	-0.4619	-0.0813	-5.2199	-2.1403	2.4225	-6.9764	-1.1498	2.1755	0.8295	1.6804	1.4000	0.1110
-0.4950	0.6222	6.9227	0.0154	0.0632	2.5766	1.1745	-0.4038	-0.1428	-2.3146	-2.2374	0.2318	-0.8774	0.7125	-5.1561	-0.3496	1.6578	2.1534	-0.9722	1.6586	-2.4513	-1.2238	-4.2138	2.6913	1.0017	2.3288	2.3111	0.7629	0.0668	-0.0557	-0.6450	-0.2598	3.2959	2.1764	0.5200	0.9312	-0.2102	0.8697	-3.3602	0.3704	-1.5267	-3.3869	6.9817	-3.7180	0.0294	4.0243	1.5289	-1.1824	2.8122	-0.7104
1.2639	-1.1314	2.1050	3.9576	3.0381	2.1278	0.1477	-5.3995	-0.9546	1.9927	-8.8470	1.1736	1.0707	-5.8224	1.9449	-1.0740	0.3382	-3.1280	-0.9926	-3.5705	3.8873	1.0356	-1.3025	-2.4250	-0.8304	4.8004	-1.7958	-0.7820	0.4532	1.3145	2.7145	0.6219	-1.0270	-4.5943	-1.4078	0.1287	1.3973	3.1580	-1.1975	-0.1130	-4.4766	1.6437	-1.0396	-2.2674	0.7148	-3.1670	-0.4134	2.3874	-1.2506	-0.4408
4.3293	1.0407	-10.3515	-1.6874	-0.7187	3.6210	2.5171	-2.0032	-2.2090	5.8914	4.5920	-0.1173	-0.0544	-6.2954	10.2492	-2.9772	1.7710	-4.1456	1.2452	-8.9552	-1.2845	3.2662	0.0448	0.8465	-1.6310	-2.6307	-0.6855	-0.2805	1.2388	-0.7309	-2.8742	0.2069	2.1864	1.6962	-1.5922	-2.1764	-0.5633	4.2205	1.1670	-1.4433	1.0581	0.1387	-3.2629	-0.7229	0.3896	3.4793	1.7828	0.0844	-0.7161	-0.1109
